_id,id,category_name,subcategory_name,subsubcategory,rating,url,name,address,latitude,longitude,price,GoodFor,Duration,geo_cluster,category_encoded,cluster,distance_to_centroid
693153bff76f2835c1ab8c5b,10,Historical and Arts,Sights & Landmarks,Architectural Buildings,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/df/46/a0/local-and-imported-fruits.jpg?w=1000&h=-1&s=1,"Marché central de Tunis, Fondouk El Ghala","9 Rue d'Allemagne, Tunis 1000",36.7974407,10.1773133,free,Families with children,<1 hour,0,0,2,0.05979930603104065
693153bff76f2835c1ab8c5c,11,Historical and Arts,Sights & Landmarks,Architectural Buildings,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/94/71/4e/caption.jpg?w=1000&h=-1&s=1,Avenue Habib Bourguiba,"Av. Habib Bourguiba, Tunis",36.8849547,10.3308812,free,Families with children,<1 hour,2,0,4,0.599764466444853
693153bff76f2835c1ab8c5d,12,Historical and Arts,Sights & Landmarks,Architectural Buildings,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/3d/05/57/doors.jpg?w=1000&h=-1&s=1,The doors of the medina,23 rue des Andalous,36.8,10.18333,free,Families with children,<1 hour,0,0,2,0.03254658208064042
693153bff76f2835c1ab8c5e,13,Historical and Arts,Sights & Landmarks,Architectural Buildings,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/82/ba/fe/a-beautiful-door-great.jpg?w=1000&h=-1&s=1,Dar El Jeld,"5-10, Rue Dar El Jeld? Street 1005",36.7984113,10.1691227,free,Families with children,<1 hour,0,0,2,0.10669133197715441
693153bff76f2835c1ab8c5f,14,Historical and Arts,Sights & Landmarks,Architectural Buildings,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/92/d2/db/ancienne-facade-mais.jpg?w=800&h=-1&s=1,Le Colisée tunis,"R52J+3MQ, Av. Habib Bourguiba, Tunis",36.8001367,10.1818873,free,Families with children,<1 hour,0,0,0,0.08314856302740498
693153bff76f2835c1ab8c60,15,Historical and Arts,Sights & Landmarks,Architectural Buildings,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fd/74/0f/caption.jpg?w=800&h=-1&s=1,Palais Ksar said,Rue de I'Evacuation,36.8112052,10.1306378,free,Families with children,<1 hour,0,0,0,0.2632094966094208
693153bff76f2835c1ab8c61,16,Historical and Arts,Sights & Landmarks,Monuments & Statues,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a7/f1/d3/monument-to-ibn-khaldoun.jpg?w=700&h=-1&s=1,Monument to Ibn Khaldoun,"2 Pl. de l'Indépendance, Tunis 1000",36.7993487,10.1762966,free,Families with children,<1 hour,0,0,0,0.07085731167065476
693153bff76f2835c1ab8c62,18,Historical and Arts,Sights & Landmarks,Sacred & Religious Sites,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7c/37/fa/20181005-161845-0-01.jpg?w=1000&h=-1&s=1,Ezitouna Mosque,"Q5XC+454, 30 Rue Jamaa Ezzitouna, Tunis",36.7970222,10.1687955,free,Families with children,<1 hour,0,0,0,0.07656379227300857
693153bff76f2835c1ab8c63,19,Historical and Arts,Sights & Landmarks,Sacred & Religious Sites,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/92/aa/a7/caption.jpg?w=1000&h=-1&s=1,Cathedral of St. Vincent de Paul,"53 Rue Mokhtar Attia, Tunis",36.7999579,10.1789525,free,Families with children,<1 hour,0,0,0,0.0751856169052178
693153bff76f2835c1ab8c64,20,Historical and Arts,Sights & Landmarks,Sacred & Religious Sites,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/d9/3d/a2/photo7jpg.jpg?w=1000&h=-1&s=1,Mosque Sidi Youssef,Q5W9+QR Tunis,34.6857277,11.1663244,free,Families with children,<1 hour,1,0,1,1.1807528183857094
693153bff76f2835c1ab8c65,21,Historical and Arts,Sights & Landmarks,Sacred & Religious Sites,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/28/83/67/mosque-kasbah.jpg?w=1000&h=-1&s=1,Mosque Kasbah,Q5W9+J3 Tunis,36.7967435,10.1676237,free,Families with children,<1 hour,0,0,0,0.07961741130580141
